Device: Apple iPhone11,8; eSense app version: 4.9.0; ios version: 14.0;
DESCRIPCIÓN
NOMBRE DE LA GRABACIÓN;ro-07012021-hr;;;;;;
eSense Pulse:;0000387;;;;;;
FECHA (HH:MM:SS);07.01.21 19:44:36;;;;;;
TIEMPO (HH:MM:SS);00:15:56;;;;;;
MÁXIMO;105.6 HR;;;;;;
MÍNIMO;57.5 HR;;;;;;
DIFERENCIA MIN/MAX;48.1 HR;;;;;;
MEDIA DE LA SESIÓN;83.4 HR;;;;;;
;;;;;;;
SDNN;57.190 ms;;;;;;
RMSSD;28.929 ms;;;;;;
NN50;96;;;;;;
PNN50;7.289 %;;;;;;
ÍNDICE DE ESTRÉS;48.980;;;;;;
RR PROMEDIO;723.9 ms;;;;;;
HR PROMEDIO;82.9 HR;;;;;;
VALORES DE HR CORREGIDOS;0;;;;;;
VALORES DE HR CORREGIDOS EN%;0.0 %;;;;;;
CORAZONES ROJOS;54;;;;;;
CORAZONES RARANJAS;48;;;;;;
CORAZONES AMAARILLOS;53;;;;;;
CORAZONES VERDES;36;;;;;;
;;;;;;;
ESTADÍSTICAS;;;;;;;
SEGUNDO;RITMO CARDIACO;RR;AMPLITUD HRV;UNIFORMIDAD;MARCAS DE TIEMPO;MARCADOR;
167.021;90.6;662;15.03;85.71;19:47:28:336;;
167.661;93.8;640;16.14;85.71;19:47:28:880;;
168.277;97.4;616;16.53;85.71;19:47:29:962;;
168.884;98.8;607;16.57;85.71;19:47:30:498;;
169.486;99.7;602;16.57;85.71;19:47:31:036;;
170.099;97.9;613;16.57;85.71;19:47:31:585;;
170.743;93.2;644;16.75;90.03;19:47:32:117;;
171.458;83.9;715;17.13;99.14;19:47:33:196;;
172.190;82.0;732;17.52;91.47;19:47:33:759;;
172.916;82.6;726;17.80;84.86;19:47:34:278;;
173.576;90.9;660;18.19;74.10;19:47:34:816;;
174.237;90.8;661;18.67;58.25;19:47:35:356;;
174.885;92.6;648;18.99;45.82;19:47:36:440;;
175.554;89.7;669;19.17;35.54;19:47:36:983;;
176.249;86.3;695;19.19;19.15;19:47:37:516;;
176.949;85.7;700;18.85;9.70;19:47:38:602;;
177.633;87.7;684;18.19;1.01;19:47:39:136;;
178.327;86.5;694;17.32;3.97;19:47:39:679;;
179.018;86.8;691;15.52;20.83;19:47:40:216;;
179.789;77.8;771;13.45;51.58;19:47:41:301;;
180.495;85.0;706;12.01;78.12;19:47:41:839;;
181.203;84.7;708;10.69;89.71;19:47:42:381;;
181.881;88.5;678;10.21;73.69;19:47:43:461;;
182.564;87.8;683;9.98;63.25;19:47:43:995;;
183.215;92.2;651;10.03;57.45;19:47:44:536;;
183.868;91.9;653;10.22;57.45;19:47:45:079;;
184.522;91.7;654;10.42;57.45;19:47:46:159;;
185.188;90.1;666;10.62;57.45;19:47:46:698;;
185.837;92.4;649;10.88;57.45;19:47:47:235;;
186.524;87.3;687;10.97;58.42;19:47:48:335;;
187.205;88.1;681;11.03;62.36;19:47:48:866;;
187.901;86.2;696;11.06;66.01;19:47:49:401;;
188.550;92.4;649;11.07;69.80;19:47:49:935;;
189.209;91.0;659;11.06;74.79;19:47:50:479;;
189.858;92.4;649;10.96;83.18;19:47:51:016;;
190.492;94.6;634;10.82;90.19;19:47:52:099;;
191.119;95.7;627;10.63;97.72;19:47:52:639;;
191.752;94.8;633;10.39;94.67;19:47:53:179;;
192.378;95.8;626;10.11;87.66;19:47:53:716;;
192.987;98.5;609;9.79;80.98;19:47:54:263;;
193.612;96.0;625;9.25;71.25;19:47:55:339;;
194.270;91.2;658;8.75;61.73;19:47:55:887;;
194.969;85.8;699;8.26;51.36;19:47:56:415;;
195.659;87.0;690;7.76;41.98;19:47:56:959;;
196.306;92.7;647;7.44;39.67;19:47:57:496;;
196.918;98.0;612;7.27;40.85;19:47:58:595;;
197.543;96.0;625;7.24;45.05;19:47:59:116;;
198.171;95.5;628;7.34;52.09;19:47:59:656;;
198.818;92.7;647;8.01;75.54;19:48:00:195;;
199.483;90.2;665;9.01;97.44;19:48:00:743;;
200.162;88.4;679;9.69;86.97;19:48:01:277;;
200.849;87.3;687;10.35;71.49;19:48:02:356;;
201.542;86.6;693;10.53;66.10;19:48:02:895;;
202.222;88.2;680;10.48;64.57;19:48:03:999;;
202.879;91.3;657;10.39;63.52;19:48:04:515;;
203.516;94.2;637;10.30;62.80;19:48:05:060;;
204.141;96.0;625;10.22;62.34;19:48:05:595;;
204.758;97.2;617;10.15;62.16;19:48:06:145;;
205.373;97.6;615;10.09;62.16;19:48:06:678;;
205.973;100.0;600;10.03;62.16;19:48:07:221;;
206.569;100.7;596;9.97;62.16;19:48:07:760;;
207.168;100.2;599;9.92;62.16;19:48:08:836;;
207.776;98.7;608;9.91;62.66;19:48:09:380;;
208.403;95.7;627;9.98;65.81;19:48:09:918;;
209.041;94.0;638;10.12;71.61;19:48:10:460;;
209.690;92.4;649;10.24;76.19;19:48:10:999;;
210.313;96.3;623;10.37;82.27;19:48:11:536;;
210.956;93.3;643;10.50;89.87;19:48:12:618;;
211.591;94.5;635;10.60;98.26;19:48:13:160;;
212.239;92.6;648;10.67;89.78;19:48:13:696;;
212.883;93.2;644;10.65;81.64;19:48:14:236;;
213.534;92.2;651;10.57;74.03;19:48:14:779;;
214.194;90.9;660;10.35;64.46;19:48:15:858;;
214.860;90.1;666;9.79;50.50;19:48:16:395;;
215.535;88.9;675;9.26;40.36;19:48:16:935;;
216.208;89.2;673;8.58;36.74;19:48:17:481;;
216.848;93.8;640;7.32;39.89;19:48:18:559;;
217.501;91.9;653;6.40;47.62;19:48:19:094;;
218.133;94.9;632;5.58;59.55;19:48:19:635;;
218.774;93.6;641;4.92;74.41;19:48:20:177;;
219.416;93.5;642;4.45;93.73;19:48:20:719;;
220.067;92.2;651;4.30;93.04;19:48:21:797;;
220.700;94.8;633;4.26;82.33;19:48:22:335;;
221.318;97.1;618;4.33;74.29;19:48:22:878;;
221.952;94.6;634;4.50;68.93;19:48:23:415;;
222.574;96.5;622;4.79;66.26;19:48:23:961;;
223.230;91.5;656;4.98;67.37;19:48:24:496;;
223.904;89.0;674;5.09;68.85;19:48:25:578;;
224.566;90.6;662;5.35;70.98;19:48:26:115;;
225.245;88.4;679;5.63;74.97;19:48:26:659;;
225.923;88.5;678;5.79;78.73;19:48:27:739;;
226.619;86.2;696;5.95;84.85;19:48:28:277;;
227.379;78.9;760;6.08;91.61;19:48:28:815;;
228.126;80.3;747;6.17;96.53;19:48:29:916;;
228.840;84.0;714;6.35;96.85;19:48:30:435;;
229.564;82.9;724;6.70;90.01;19:48:30:984;;
230.267;85.3;703;7.06;84.83;19:48:31:515;;
230.955;87.2;688;7.51;79.65;19:48:32:598;;
231.620;90.2;665;8.04;74.55;19:48:33:135;;
232.261;93.6;641;8.88;68.74;19:48:33:679;;
232.888;95.7;627;9.57;65.21;19:48:34:215;;
233.516;95.5;628;10.27;62.38;19:48:35:305;;
234.141;96.0;625;10.95;60.26;19:48:35:835;;
234.779;94.0;638;11.50;59.20;19:48:36:377;;
235.455;88.8;676;11.85;59.09;19:48:36:921;;
236.139;87.7;684;12.06;59.06;19:48:37:997;;
236.851;84.3;712;12.69;58.40;19:48:38:535;;
237.598;80.3;747;13.21;58.53;19:48:39:076;;
238.373;77.4;775;13.67;58.76;19:48:40:158;;
239.092;83.4;719;14.00;58.96;19:48:40:695;;
239.781;87.1;689;14.31;59.19;19:48:41:235;;
240.447;90.1;666;14.69;59.54;19:48:41:794;;
241.118;89.4;671;14.95;59.82;19:48:42:876;;
241.773;91.6;655;15.20;60.09;19:48:43:397;;
242.445;89.3;672;15.52;60.44;19:48:43:934;;
243.117;89.3;672;15.75;60.71;19:48:44:477;;
243.788;89.4;671;15.98;60.99;19:48:45:555;;
244.423;94.5;635;16.23;61.36;19:48:46:094;;
245.077;91.7;654;16.36;61.64;19:48:46:643;;
245.709;94.9;632;16.45;61.92;19:48:47:182;;
246.339;95.2;630;16.49;62.20;19:48:47:718;;
246.959;96.8;620;16.52;62.47;19:48:48:259;;
247.603;93.2;644;16.54;62.68;19:48:49:338;;
248.257;91.7;654;16.57;63.12;19:48:49:877;;
248.940;87.8;683;16.60;63.61;19:48:50:427;;
249.639;85.8;699;16.65;64.42;19:48:51:507;;
250.330;86.8;691;16.69;65.15;19:48:52:034;;
250.987;91.3;657;16.70;66.29;19:48:52:576;;
251.685;86.0;698;16.68;67.44;19:48:53:115;;
252.347;90.6;662;16.58;69.52;19:48:53:659;;
252.979;94.9;632;16.33;72.69;19:48:54:738;;
253.628;92.4;649;15.62;78.72;19:48:55:276;;
254.266;94.0;638;14.63;85.44;19:48:55:815;;
254.906;93.8;640;13.20;95.23;19:48:56:359;;
255.513;98.8;607;11.42;92.71;19:48:56:895;;
256.114;99.8;601;9.53;80.20;19:48:57:435;;
256.708;101.0;594;7.83;70.42;19:48:58:515;;
257.298;101.7;590;5.87;60.49;19:48:59:059;;
257.876;103.8;578;4.51;53.73;19:48:59:594;;
258.449;104.7;573;2.66;44.02;19:49:00:135;;
259.039;101.7;590;1.40;37.04;19:49:00:676;;
259.624;102.6;585;1.48;38.32;19:49:01:215;;
260.232;98.7;608;1.89;42.70;19:49:01:762;;
260.891;91.0;659;2.19;46.50;19:49:02:296;;
261.598;84.9;707;3.16;56.53;19:49:03:375;;
262.331;81.9;733;4.22;66.87;19:49:03:914;;
263.061;82.2;730;5.77;82.03;19:49:05:019;;
263.756;86.3;695;6.94;93.16;19:49:05:555;;
264.411;91.6;655;8.67;91.62;19:49:06:075;;
265.093;88.0;682;10.10;80.00;19:49:06:615;;
265.768;88.9;675;11.61;68.37;19:49:07:159;;
266.434;90.1;666;13.75;53.09;19:49:07:712;;
267.071;94.2;637;15.27;43.40;19:49:08:780;;
267.708;94.2;637;16.59;35.65;19:49:09:314;;
268.352;93.2;644;17.72;29.84;19:49:09:863;;
