Device: Apple iPhone11,8; eSense app version: 4.5.91; ios version: 13.3.1;
DESCRIPCIÓN;VALOR;RR;Amplitud HRV
NOMBRE DE LA GRABACIÓN;F3;;;;;;;
eSense Pulse:;0000387;;;;;;;
FECHA (HH:MM:SS);15.06.20 15:58:40;;;;;;;
TIEMPO (HH:MM:SS);00:28:48;;;;;;;
MÁXIMO;111.7 HR;;;;;;;
MÍNIMO;64.3 HR;;;;;;;
DIFERENCIA MIN/MAX;47.4 HR;;;;;;;
MEDIA DE LA SESIÓN;82.66 HR;;;;;;;
;;;;;;;;
SDNN;54.070 ms;;;;;;;
RMSSD;37.568 ms;;;;;;;
NN50;338;;;;;;;
PNN50;13.984 %;;;;;;;
ÍNDICE DE ESTRÉS;36.267;;;;;;;
RR PROMEDIO;730.8 ms;;;;;;;
HR PROMEDIO;82.1 HR;;;;;;;
VALORES DE HR CORREGIDOS;1;;;;;;;
VALORES DE HR CORREGIDOS EN%;0.0 %;;;;;;;
HF PROMEDIO;217.9813 ms2;;;;;;;
LF PROMEDIO;566.4074 ms2;;;;;;;
RELACIÓN LF/HF;2.5984;;;;;;;
CORAZONES ROJOS;61;;;;;;;
CORAZONES RARANJAS;64;;;;;;;
CORAZONES AMAARILLOS;128;;;;;;;
CORAZONES VERDES;92;;;;;;;
;;;;;;;;
104.164;81.3;738;11.48;36.21;N.a.;16:00:26:237;;
104.898;81.7;734;11.21;32.09;N.a.;16:00:27:322;;
105.583;87.6;685;11.14;30.98;N.a.;16:00:27:872;;
106.231;92.6;648;11.35;33.77;1.2000;16:00:28:418;;
106.848;97.2;617;11.83;39.34;1.3473;16:00:28:970;;
107.448;100.0;600;12.58;47.72;N.a.;16:00:29:525;;
108.096;92.6;648;13.42;57.01;N.a.;16:00:30:059;;
108.894;75.2;798;14.32;66.25;N.a.;16:00:31:178;;
109.706;73.9;812;15.43;75.50;1.1700;16:00:31:701;;
110.552;70.9;846;16.76;84.75;0.9816;16:00:32:835;;
111.412;69.8;860;18.26;93.67;N.a.;16:00:33:352;;
112.275;69.5;863;20.17;97.52;N.a.;16:00:34:438;;
113.118;71.2;843;21.98;91.46;N.a.;16:00:34:986;;
113.926;74.3;808;23.20;88.60;1.1000;16:00:36:103;;
114.713;76.2;787;23.98;87.61;1.2250;16:00:36:634;;
115.489;77.3;776;24.65;87.50;N.a.;16:00:37:182;;
116.271;76.7;782;25.31;87.50;N.a.;16:00:38:274;;
117.007;81.5;736;25.97;87.50;N.a.;16:00:38:819;;
117.707;85.7;700;26.82;87.50;1.1300;16:00:40:468;;
118.409;85.5;702;27.14;87.77;1.0318;16:00:40:496;;
119.118;84.6;709;27.37;89.44;N.a.;16:00:41:008;;
119.827;84.6;709;27.54;92.30;N.a.;16:00:41:555;;
120.499;89.3;672;27.60;93.85;N.a.;16:00:42:674;;
121.124;96.0;625;27.83;96.07;1.1000;16:00:43:200;;
121.743;96.9;619;27.97;99.40;1.1607;16:00:43:748;;
122.362;96.9;619;27.94;97.85;N.a.;16:00:44:299;;
123.009;92.7;647;27.82;94.89;N.a.;16:00:44:846;;
123.681;89.3;672;27.61;91.76;N.a.;16:00:46:503;;
124.386;85.1;705;27.30;88.41;1.0400;16:00:47:034;;
125.106;83.3;720;26.93;84.83;0.9205;16:00:47:040;;
125.810;85.2;704;26.52;81.38;N.a.;16:00:47:583;;
126.491;88.1;681;26.07;78.07;N.a.;16:00:48:133;;
127.137;92.9;646;25.57;74.84;N.a.;16:00:49:221;;
127.770;94.8;633;24.44;68.48;1.0300;16:00:49:768;;
128.392;96.5;622;23.41;63.12;1.1249;16:00:50:319;;
128.994;99.7;602;22.80;59.82;N.a.;16:00:50:872;;
129.604;98.4;610;22.09;55.90;N.a.;16:00:51:417;;
130.216;98.0;612;20.84;48.84;N.a.;16:00:51:958;;
130.809;101.2;593;20.09;44.95;1.1000;16:00:52:505;;
131.413;99.3;604;19.02;41.30;1.0656;16:00:53:053;;
132.013;100.0;600;17.86;39.87;N.a.;16:00:53:604;;
132.617;99.3;604;17.31;40.66;N.a.;16:00:54:704;;
133.204;102.2;587;16.99;42.86;N.a.;16:00:55:250;;
133.773;105.4;569;16.91;45.43;0.9600;16:00:55:270;;
134.335;106.8;562;16.96;48.76;0.8460;16:00:56:345;;
134.897;106.8;562;17.15;52.84;N.a.;16:00:56:374;;
135.472;104.3;575;17.71;60.60;N.a.;16:00:56:902;;
136.084;98.0;612;20.25;82.75;N.a.;16:00:57:436;;
136.776;86.7;692;21.25;95.51;1.0100;16:00:57:980;;
137.530;79.6;754;21.72;94.02;1.1843;16:00:59:080;;
138.306;77.3;776;21.93;84.62;N.a.;16:01:00:721;;
139.054;80.2;748;21.88;78.79;N.a.;16:01:00:746;;
139.784;82.2;730;21.61;74.24;N.a.;16:01:01:265;;
140.495;84.4;711;20.96;70.50;1.1000;16:01:01:813;;
141.169;89.0;674;20.37;68.32;1.0299;16:01:02:940;;
141.814;93.0;645;19.76;66.18;N.a.;16:01:03:455;;
142.461;92.7;647;19.19;64.31;N.a.;16:01:04:002;;
143.131;89.6;670;18.90;63.37;N.a.;16:01:04:550;;
143.878;80.3;747;18.78;63.26;1.0300;16:01:05:103;;
144.708;72.3;830;19.15;65.07;1.0370;16:01:06:773;;
145.538;72.3;830;20.34;70.07;N.a.;16:01:06:791;;
146.341;74.7;803;21.29;74.67;N.a.;16:01:07:837;;
147.110;78.0;769;22.18;79.44;N.a.;16:01:08:394;;
147.833;83.0;723;22.78;83.03;1.0400;16:01:08:930;;
148.520;87.3;687;23.46;87.81;1.0467;16:01:09:482;;
149.162;93.5;642;23.87;91.40;N.a.;16:01:10:595;;
149.784;96.5;622;24.22;94.99;N.a.;16:01:11:120;;
150.392;98.7;608;24.68;99.74;N.a.;16:01:11:667;;
150.998;99.0;606;24.89;96.08;1.0700;16:01:12:215;;
151.641;93.3;643;24.90;93.63;1.0789;16:01:12:781;;
152.382;81.0;741;24.70;92.38;N.a.;16:01:13:313;;
153.180;75.2;798;24.30;92.34;N.a.;16:01:14:409;;
153.989;74.2;809;23.72;93.41;N.a.;16:01:16:080;;
154.804;73.6;815;23.14;94.67;1.0300;16:01:16:090;;
155.588;76.5;784;22.66;95.93;0.9746;16:01:16:604;;
156.357;78.0;769;22.36;96.87;N.a.;16:01:17:172;;
157.071;84.0;714;22.05;98.13;N.a.;16:01:18:257;;
157.735;90.4;664;21.88;99.08;N.a.;16:01:18:784;;
158.375;93.8;640;21.78;99.97;1.0900;16:01:19:332;;
159.010;94.5;635;21.76;99.27;1.2194;16:01:19:884;;
159.665;91.6;655;21.82;98.48;N.a.;16:01:20:439;;
160.378;84.2;713;21.90;98.35;N.a.;16:01:21:527;;
161.177;75.1;799;21.99;98.57;N.a.;16:01:22:070;;
162.029;70.4;852;22.12;98.98;1.0700;16:01:23:167;;
162.880;70.5;851;22.29;99.90;0.9200;16:01:24:281;;
163.714;71.9;834;22.49;98.71;N.a.;16:01:24:813;;
164.519;74.5;805;22.67;96.99;N.a.;16:01:25:365;;
165.287;78.1;768;22.83;94.96;N.a.;16:01:26:451;;
166.026;81.2;739;22.95;92.90;0.9300;16:01:26:998;;
166.750;82.9;724;23.02;90.83;0.9397;16:01:27:544;;
167.427;88.6;677;23.03;89.26;N.a.;16:01:28:097;;
168.078;92.2;651;22.98;87.16;N.a.;16:01:28:640;;
168.718;93.8;640;22.89;85.58;N.a.;16:01:29:739;;
169.359;93.6;641;22.76;84.01;0.9600;16:01:30:282;;
170.024;90.2;665;22.59;82.43;0.9966;16:01:30:846;;
170.720;86.2;696;22.40;80.92;N.a.;16:01:31:384;;
171.455;81.6;735;22.03;78.62;N.a.;16:01:32:494;;
172.253;75.2;798;21.84;77.74;N.a.;16:01:33:019;;
173.070;73.4;817;21.71;77.37;0.9900;16:01:33:566;;
173.890;73.2;820;21.56;77.27;0.9830;16:01:34:671;;
174.694;74.6;804;21.42;77.62;N.a.;16:01:35:218;;
175.475;76.8;781;21.31;78.40;N.a.;16:01:36:309;;
176.233;79.2;758;21.21;79.39;N.a.;16:01:36:852;;
176.981;80.2;748;21.13;80.17;1.0100;16:01:37:399;;
177.709;82.4;728;21.02;81.21;1.0416;16:01:38:526;;
178.397;87.2;688;20.91;82.25;N.a.;16:01:39:069;;
179.052;91.6;655;20.83;83.03;N.a.;16:01:39:589;;
179.690;94.0;638;20.75;83.81;N.a.;16:01:40:138;;
180.318;95.5;628;20.65;84.86;1.0400;16:01:40:688;;
180.958;93.8;640;20.58;85.64;1.0239;16:01:41:784;;
181.652;86.5;694;20.51;86.42;N.a.;16:01:42:881;;
182.396;80.6;744;20.42;87.41;N.a.;16:01:42:922;;
183.173;77.2;777;20.36;87.80;N.a.;16:01:43:982;;
183.955;76.7;782;20.24;88.58;1.1000;16:01:44:519;;
184.751;75.4;796;20.07;89.24;1.1662;16:01:45:066;;
185.535;76.5;784;19.92;89.65;N.a.;16:01:46:158;;
186.295;78.9;760;19.69;90.11;N.a.;16:01:46:712;;
187.038;80.8;743;19.43;90.45;N.a.;16:01:47:254;;
187.762;82.9;724;19.20;90.63;1.1500;16:01:48:353;;
188.466;85.2;704;18.84;90.80;1.1168;16:01:48:897;;
189.170;85.2;704;18.56;90.93;N.a.;16:01:49:447;;
189.880;84.5;710;18.17;91.11;N.a.;16:01:50:005;;
190.557;88.6;677;17.87;91.24;N.a.;16:01:51:090;;
191.221;90.4;664;17.57;91.37;1.0700;16:01:51:633;;
191.871;92.3;650;17.27;91.50;1.0295;16:01:52:182;;
192.527;91.5;656;16.46;91.91;N.a.;16:01:52:730;;
193.199;89.3;672;15.85;92.56;N.a.;16:01:53:280;;
193.905;85.0;706;15.43;93.46;N.a.;16:01:54:383;;
194.626;83.2;721;15.03;94.71;1.0600;16:01:54:931;;
195.367;81.0;741;14.68;96.28;1.0874;16:01:55:467;;
196.135;78.1;768;14.37;98.16;N.a.;16:01:56:583;;
196.896;78.8;761;14.07;98.62;N.a.;16:01:57:117;;
197.623;82.5;727;14.02;95.97;N.a.;16:01:57:661;;
198.335;84.3;712;14.11;93.88;1.1300;16:01:58:204;;
199.028;86.6;693;14.22;92.33;1.1863;16:01:59:303;;
199.709;88.1;681;14.46;90.25;N.a.;16:01:59:847;;
200.375;90.1;666;14.68;88.69;N.a.;16:02:00:399;;
201.025;92.3;650;14.96;86.94;N.a.;16:02:00:946;;
201.672;92.7;647;15.23;85.47;1.2100;16:02:01:495;;
202.316;93.2;644;15.38;84.75;1.2330;16:02:02:593;;
202.981;90.2;665;15.50;84.31;N.a.;16:02:03:678;;
203.681;85.7;700;15.53;84.47;N.a.;16:02:03:702;;
204.417;81.5;736;15.48;85.21;N.a.;16:02:04:797;;
205.200;76.6;783;15.28;86.96;1.2800;16:02:05:320;;
206.002;74.8;802;14.97;89.41;1.3239;16:02:05:868;;
206.799;75.3;797;14.70;91.04;N.a.;16:02:06:966;;
207.596;75.3;797;14.45;92.26;N.a.;16:02:07:512;;
208.378;76.7;782;14.06;93.89;N.a.;16:02:09:166;;
209.152;77.5;774;13.72;95.11;1.2700;16:02:09:190;;
209.906;79.6;754;13.35;96.34;1.2086;16:02:09:711;;
210.638;82.0;732;12.94;97.54;N.a.;16:02:10:807;;
211.337;85.8;699;12.38;99.08;N.a.;16:02:11:346;;
212.021;87.7;684;11.91;99.26;N.a.;16:02:11:897;;
212.720;85.8;699;11.79;98.40;1.1700;16:02:12:447;;
213.456;81.5;736;11.79;97.90;1.1320;16:02:13:538;;
214.188;82.0;732;11.93;97.40;N.a.;16:02:14:080;;
214.917;82.3;729;12.21;97.10;N.a.;16:02:14:628;;
215.673;79.4;756;12.45;96.88;N.a.;16:02:15:176;;
216.436;78.6;763;12.65;96.65;1.2100;16:02:16:282;;
217.216;76.9;780;12.89;96.35;1.2738;16:02:16:818;;
217.996;76.9;780;13.05;96.13;N.a.;16:02:18:467;;
218.767;77.8;771;13.20;95.90;N.a.;16:02:18:514;;
219.522;79.5;755;13.33;95.68;N.a.;16:02:19:013;;
220.259;81.4;737;13.45;95.46;1.2700;16:02:20:107;;
220.948;87.1;689;13.60;95.13;1.2700;16:02:20:650;;
221.602;91.7;654;13.75;94.96;N.a.;16:02:21:202;;
