Device: samsung SM-G970U1; eSense app version: 4.9.0; android version: 10;
DESCRIPTION;VALUE
RECORDING NAME;ro-07012021-skin;;;;
DATE (HH:MM:SS);07.01.21 19:44:35;;;;
TIME (HH:MM:SS);00:15:55;;;;
MAXIMUM;5.23 µS;;;;
MINIMUM;0.38 µS;;;;
DIFFERENCE MIN/MAX;4.85 µS;;;;
AVERAGE OF SESSION;2.59 µS;;;;
TIME INCREASE (HH:MM:SS);00:03:20;;;;
TIME STEADY (HH:MM:SS);00:00:40;;;;
TIME DECREASE (HH:MM:SS);00:11:54;;;;
;;;;;
TOTAL SCR;44;;;;
% of SCR OF SESSION;19.8%;;;;
Red hands;0;;;;
Orange hands;7;;;;
Yellow hands;122;;;;
Green hands;62;;;;
0-5 SCR/MIN (HH:MM:SS);00:15:01;;;;
6-9 SCR/MIN (HH:MM:SS);00:00:57;;;;
10-15 SCR/MIN (HH:MM:SS);00:00:00;;;;
>16 SCR/MIN (HH:MM:SS);00:00:00;;;;
STARS;0;;;;
STARS WITH RIBBON;0;;;;
;;;;;
STATISTICS;;;;;
SECOND;MICROSIEMENS;TIMESTAMP;SCR;SCR/MIN;MARKER
51.2;0.94;19:45:26:725;0;0;
51.4;0.94;19:45:26:925;0;0;
51.6;0.94;19:45:27:125;0;0;
51.8;0.94;19:45:27:325;0;0;
52.0;0.94;19:45:27:525;0;0;
52.2;0.94;19:45:27:725;0;0;
52.4;0.94;19:45:27:925;0;0;
52.6;0.94;19:45:28:125;0;0;
52.8;0.93;19:45:28:325;0;0;
53.0;0.93;19:45:28:525;0;0;
53.2;0.93;19:45:28:725;0;0;
53.4;0.93;19:45:28:925;0;0;
53.6;0.93;19:45:29:125;0;0;
53.8;0.93;19:45:29:325;0;0;
54.0;0.93;19:45:29:525;0;0;
54.2;0.93;19:45:29:725;0;0;
54.4;0.93;19:45:29:925;0;0;
54.6;0.93;19:45:30:125;0;0;
54.8;0.93;19:45:30:325;0;0;
55.0;0.93;19:45:30:525;0;0;
55.2;0.93;19:45:30:725;0;0;
55.4;0.93;19:45:30:925;0;0;
55.6;0.93;19:45:31:125;0;0;
55.8;0.93;19:45:31:325;0;0;
56.0;0.93;19:45:31:525;0;0;
56.2;0.93;19:45:31:725;0;0;
56.4;0.93;19:45:31:925;0;0;
56.6;0.92;19:45:32:125;0;0;
56.8;0.92;19:45:32:325;0;0;
57.0;0.92;19:45:32:525;0;0;
57.2;0.92;19:45:32:725;0;0;
57.4;0.92;19:45:32:925;0;0;
57.6;0.92;19:45:33:125;0;0;
57.8;0.92;19:45:33:325;0;0;
58.0;0.92;19:45:33:525;0;0;
