Device: samsung SM-G970U1; eSense app version: 4.9.0; android version: 10;
DESCRIPTION;VALUE
RECORDING NAME;Recording-05012021-205648;;;;
DATE (HH:MM:SS);05.01.21 20:56:48;;;;
TIME (HH:MM:SS);00:11:21;;;;
MAXIMUM;5.79 µS;;;;
MINIMUM;2.65 µS;;;;
DIFFERENCE MIN/MAX;3.14 µS;;;;
AVERAGE OF SESSION;3.85 µS;;;;
TIME INCREASE (HH:MM:SS);00:02:39;;;;
TIME STEADY (HH:MM:SS);00:00:50;;;;
TIME DECREASE (HH:MM:SS);00:07:50;;;;
;;;;;
TOTAL SCR;35;;;;
% of SCR OF SESSION;19.1%;;;;
Red hands;0;;;;
Orange hands;17;;;;
Yellow hands;101;;;;
Green hands;18;;;;
0-5 SCR/MIN (HH:MM:SS);00:09:51;;;;
6-9 SCR/MIN (HH:MM:SS);00:01:33;;;;
10-15 SCR/MIN (HH:MM:SS);00:00:00;;;;
>16 SCR/MIN (HH:MM:SS);00:00:00;;;;
STARS;1;;;;
STARS WITH RIBBON;0;;;;
;;;;;
STATISTICS;;;;;
SECOND;MICROSIEMENS;TIMESTAMP;SCR;SCR/MIN;MARKER
37.8;3.13;20:57:26:291;0;3;
38.0;3.10;20:57:26:491;0;3;
38.2;3.09;20:57:26:691;0;3;
38.4;3.09;20:57:26:891;0;3;
38.6;3.08;20:57:27:091;0;3;
38.8;3.07;20:57:27:291;0;3;
39.0;3.06;20:57:27:491;0;3;
39.2;3.05;20:57:27:691;0;3;
39.4;3.04;20:57:27:891;0;3;
39.6;3.04;20:57:28:091;0;3;
39.8;3.02;20:57:28:291;0;3;
40.0;3.01;20:57:28:491;0;3;
40.2;3.01;20:57:28:691;0;3;
40.4;3.00;20:57:28:891;0;3;
40.6;2.98;20:57:29:091;0;3;
40.8;2.98;20:57:29:291;0;3;
41.0;2.98;20:57:29:491;0;3;
41.2;2.97;20:57:29:691;0;3;
41.4;2.96;20:57:29:891;0;3;
41.6;2.95;20:57:30:091;0;3;
41.8;2.94;20:57:30:291;0;3;
42.0;2.94;20:57:30:491;0;3;
42.2;2.93;20:57:30:691;0;3;
42.4;2.92;20:57:30:891;0;3;
42.6;2.92;20:57:31:091;0;3;
42.8;2.90;20:57:31:291;0;3;
43.0;2.90;20:57:31:491;0;3;
43.2;2.90;20:57:31:691;0;3;
43.4;2.90;20:57:31:891;0;3;
43.6;2.88;20:57:32:091;0;3;
43.8;2.87;20:57:32:291;0;3;
44.0;2.87;20:57:32:491;0;3;
44.2;2.87;20:57:32:691;0;3;
44.4;2.86;20:57:32:891;0;3;
44.6;2.86;20:57:33:091;0;3;
44.8;2.85;20:57:33:291;0;3;
45.0;2.85;20:57:33:491;0;3;
45.2;2.85;20:57:33:691;0;3;
45.4;2.84;20:57:33:891;0;3;
45.6;2.83;20:57:34:091;0;3;
45.8;2.83;20:57:34:291;0;3;
46.0;2.82;20:57:34:491;0;3;
46.2;2.82;20:57:34:691;0;3;
46.4;2.82;20:57:34:891;0;3;
46.6;2.82;20:57:35:091;0;3;
46.8;2.81;20:57:35:291;0;3;
47.0;2.80;20:57:35:491;0;3;
47.2;2.80;20:57:35:691;0;3;
47.4;2.82;20:57:35:891;0;3;
47.6;2.82;20:57:36:091;0;3;
47.8;2.85;20:57:36:291;0;3;
48.0;2.96;20:57:36:491;0;3;
48.2;3.03;20:57:36:691;0;3;
48.4;3.11;20:57:36:891;0;3;
48.6;3.21;20:57:37:091;0;3;
48.8;3.21;20:57:37:291;0;3;
49.0;3.23;20:57:37:491;0;3;
49.2;3.24;20:57:37:691;0;3;
49.4;3.23;20:57:37:891;0;3;
49.6;3.19;20:57:38:091;0;3;
49.8;3.19;20:57:38:291;0;3;
50.0;3.16;20:57:38:491;0;3;
50.2;3.14;20:57:38:691;0;3;
50.4;3.11;20:57:38:891;0;3;
50.6;3.08;20:57:39:091;0;3;
50.8;3.06;20:57:39:291;0;3;
51.0;3.06;20:57:39:491;0;3;
51.2;3.05;20:57:39:691;0;3;
51.4;3.04;20:57:39:891;0;3;
51.6;3.06;20:57:40:091;0;3;
51.8;3.11;20:57:40:291;0;3;
52.0;3.15;20:57:40:491;1;3;
52.2;3.15;20:57:40:691;1;3;
52.4;3.19;20:57:40:891;1;3;
52.6;3.28;20:57:41:091;1;3;
52.8;3.33;20:57:41:291;1;3;
53.0;3.44;20:57:41:491;1;4;
53.2;3.44;20:57:41:691;1;4;
53.4;3.53;20:57:41:891;1;4;
53.6;3.59;20:57:42:091;1;4;
53.8;3.74;20:57:42:291;1;4;
54.0;3.81;20:57:42:491;1;4;
54.2;3.83;20:57:42:691;1;4;
54.4;3.83;20:57:42:891;1;4;
54.6;3.83;20:57:43:091;1;4;
54.8;3.77;20:57:43:291;1;4;
55.0;3.74;20:57:43:491;1;4;
55.2;3.71;20:57:43:691;1;4;
55.4;3.64;20:57:43:891;1;4;
55.6;3.64;20:57:44:091;1;4;
55.8;3.60;20:57:44:291;1;4;
56.0;3.55;20:57:44:491;1;4;
56.2;3.52;20:57:44:691;1;4;
56.4;3.56;20:57:44:891;1;4;
56.6;3.56;20:57:45:091;1;4;
56.8;3.61;20:57:45:291;1;4;
57.0;3.66;20:57:45:491;1;4;
57.2;3.67;20:57:45:691;1;4;
57.4;3.65;20:57:45:891;1;4;
57.6;3.60;20:57:46:091;1;4;
57.8;3.60;20:57:46:291;1;4;
58.0;3.59;20:57:46:491;1;4;
58.2;3.67;20:57:46:691;1;4;
58.4;3.74;20:57:46:891;1;5;
58.6;3.87;20:57:47:091;1;5;
58.8;3.88;20:57:47:291;1;5;
59.0;3.90;20:57:47:491;1;5;
59.2;3.89;20:57:47:691;1;5;
59.4;3.88;20:57:47:891;1;5;
